0.11754825	111.87795	-0.68358371
0.14583505	111.76622	-0.94673299
0.18092877	111.75021	-0.86590846
0.22446745	111.56098	-1.390068
0.27848326	111.71514	-1.5699634
0.34549743	111.66392	-1.9370114
0.42863788	111.426	-2.345139
0.53178523	111.30859	-2.8258982
0.65975395	111.21646	-3.6311454
0.81851705	111.45707	-4.5222468
1.0154849	111.31041	-5.6469567
1.259851	111.2072	-7.1158357
1.5630213	110.69419	-8.646299
1.9391466	110.34013	-10.526788
2.4057825	109.62364	-13.179027
2.9847097	109.25267	-16.256817
3.7029497	107.57366	-19.788432
4.594027	105.32322	-23.708012
5.699533	102.26422	-28.495207
7.0710678	97.726449	-33.334655
8.7726485	92.025716	-38.457302
10.883696	81.555334	-43.660048
13.502745	71.474695	-48.781104
16.75204	61.310484	-49.263073
20.78325	49.127759	-48.345958
25.784527	40.5037	-45.935731
31.989316	33.095559	-40.451157
39.687222	25.420604	-35.974163
49.237553	20.856532	-30.528641
61.086075	17.313129	-26.068651
75.785817	14.875398	-21.179528
94.022914	13.162486	-17.424217
116.64815	12.377955	-14.361628
144.71589	11.477616	-11.45305
179.53571	10.882508	-9.3828103
222.74908	10.605356	-7.5799414
276.34669	10.331994	-6.0841877
342.84312	10.318355	-4.7065335
425.34666	10.117606	-3.9960946
527.71065	10.075743	-3.2066019
654.69649	10.021325	-2.6421508
812.24134	9.9379329	-2.2498794
1007.7027	10.039931	-1.7222014
1250.2074	10.032934	-1.371192
1551.0479	9.9765881	-1.0432421
1924.2987	10.008813	-0.89388837
2387.3639	9.9866004	-0.84562935
2961.8619	9.9146318	-0.47412012
3674.6031	9.9151224	-0.4799317
4558.8589	9.9710427	-0.55854273
5655.9104	10.178304	-0.29646746
7016.9452	10.162779	-0.14348593
8705.5028	9.8537089	-0.29304919
10800.397	9.879037	-0.19465795
13399.392	9.8986	-0.32242257
16623.829	9.796266	-0.22825586
20624.185	9.7748621	-0.41157049
25587.191	9.5757378	0.16485485
31744.479	9.4279678	-0.13047186
39383.478	9.4573427	0.14172353
48860.71	9.2553991	-0.060658075
60618.541	9.2340834	0.26395578
