2.000650e+04	1.545280e+01	-6.4521
1.589190e+04	1.610320e+01	-7.16206
1.262370e+04	1.683610e+01	-8.04845
1.002420e+04	1.763460e+01	-9.07321
7.962240e+03	1.857470e+01	-10.3793
6.324100e+03	1.965300e+01	-11.8455
5.024180e+03	2.090150e+01	-13.6618
3.990890e+03	2.244520e+01	-15.6872
3.170570e+03	2.420130e+01	-18.0525
2.517430e+03	2.637860e+01	-20.6501
2.000050e+03	2.902510e+01	-23.7317
1.588430e+03	3.203960e+01	-27.0622
1.262170e+03	3.579240e+01	-30.44
1.002430e+03	4.013510e+01	-34.3119
7.961370e+02	4.510220e+01	-38.33
6.324110e+02	5.087810e+01	-42.2776
5.021860e+02	5.712900e+01	-46.3517
3.991800e+02	6.432790e+01	-50.5964
3.168970e+02	7.231270e+01	-54.7682
2.518070e+02	8.098780e+01	-58.7316
1.999900e+02	9.035170e+01	-62.4639
1.589190e+02	1.002620e+02	-65.8784
1.262020e+02	1.106550e+02	-68.9952
1.002360e+02	1.213810e+02	-71.827
7.959450e+01	1.323390e+02	-74.4025
6.323490e+01	1.434000e+02	-76.8079
5.000830e+01	1.547700e+02	-79.2656
4.000590e+01	1.655460e+02	-81.6306
3.157930e+01	1.770210e+02	-84.6329
2.499110e+01	1.884240e+02	-87.9181
2.000110e+01	1.993520e+02	-91.7729
1.579340e+01	2.111850e+02	-96.719
1.250020e+01	2.232380e+02	-102.717
9.998700e+00	2.350180e+02	-109.294
8.000060e+00	2.480370e+02	-117.774
6.316230e+00	2.629750e+02	-128.219
5.044040e+00	2.780310e+02	-139.538
4.000960e+00	2.948450e+02	-152.953
3.175810e+00	3.134650e+02	-168.164
2.522020e+00	3.327640e+02	-185.072
2.000480e+00	3.564960e+02	-205.924
1.588840e+00	3.827900e+02	-228.472
1.262870e+00	4.126030e+02	-253.115
1.002100e+00	4.467950e+02	-280.743
7.958940e-01	4.856080e+02	-307.078
6.320790e-01	5.310430e+02	-338.822
5.023470e-01	5.810890e+02	-369.807
3.989230e-01	6.386850e+02	-402.144
3.170660e-01	7.029350e+02	-434.024
2.518130e-01	7.745560e+02	-464.462
1.999510e-01	8.535060e+02	-492.373
1.589200e-01	9.382360e+02	-515.156
1.261830e-01	1.029770e+03	-534.245
1.002220e-01	1.125130e+03	-546.346
7.964500e-02	1.221720e+03	-549.284
6.324800e-02	1.314900e+03	-542.173
5.025900e-02	1.406900e+03	-530.044
3.990800e-02	1.495900e+03	-515.992
3.170500e-02	1.584140e+03	-498.335
2.517100e-02	1.651050e+03	-467.974
1.999900e-02	1.726210e+03	-448.88
1.589100e-02	1.802040e+03	-435.193
